time,open,high,low,close,Volume
2024-05-02T14:30:00Z,17497.75,17521,17447.75,17467.75,24955
2024-05-02T14:45:00Z,17468,17538.75,17444.25,17528.25,22497
2024-05-02T15:00:00Z,17528.75,17562.25,17520,17555.5,19920
2024-05-02T15:15:00Z,17555.5,17558,17513.25,17520.5,13391
2024-05-02T15:30:00Z,17520.75,17533.5,17488.25,17524,17680
2024-05-02T15:45:00Z,17524.5,17571,17516,17561.75,11617
2024-05-02T16:00:00Z,17561.75,17566.25,17513.5,17518.25,11934
2024-05-02T16:15:00Z,17517.75,17542.75,17507.5,17539.25,10489
2024-05-02T16:30:00Z,17539.5,17540.75,17493.25,17529.25,13990
2024-05-02T16:45:00Z,17528.75,17539.25,17513.5,17531.25,8526
2024-05-02T17:00:00Z,17531.25,17585.75,17531.25,17577.5,14048
2024-05-02T17:15:00Z,17577.5,17607,17573.75,17604.75,14560
2024-05-02T17:30:00Z,17604.5,17616.25,17575,17592.5,12300
2024-05-02T17:45:00Z,17592.75,17602.25,17581.5,17594.75,7198
2024-05-02T18:00:00Z,17595.5,17635.5,17587.25,17620.75,12309
2024-05-02T18:15:00Z,17620.25,17631.25,17603.5,17628.5,9854
2024-05-02T18:30:00Z,17628.5,17653.5,17624.75,17639.75,11267
2024-05-02T18:45:00Z,17640,17671.5,17634.5,17664.75,12545
2024-05-02T19:00:00Z,17664.75,17685.5,17641,17661.75,15750
2024-05-02T19:15:00Z,17662.25,17679.5,17649.25,17669,10052
2024-05-02T19:30:00Z,17669,17674.25,17623.25,17627,19161
2024-05-02T19:45:00Z,17626.75,17655.5,17611.5,17648.25,25326
2024-05-02T20:00:00Z,17648.25,17682.75,17645,17655.75,12879
2024-05-02T20:15:00Z,17656,17664,17644,17657,1656
2024-05-02T20:30:00Z,17657,17750.5,17634,17748,10120
2024-05-02T20:45:00Z,17747.75,17755.25,17737.75,17743,3359
2024-05-02T22:00:00Z,17744.25,17747,17722.75,17741.75,2730
2024-05-02T22:15:00Z,17742,17808.25,17742,17762.25,4977
2024-05-02T22:30:00Z,17763,17763,17736.25,17745.5,1417
2024-05-02T22:45:00Z,17745,17748.75,17741,17747.25,826
2024-05-02T23:00:00Z,17747.5,17761.75,17740,17758.75,1374
2024-05-02T23:15:00Z,17759.75,17760.75,17744.5,17748,753
2024-05-02T23:30:00Z,17748,17750.75,17746,17746.75,266
2024-05-02T23:45:00Z,17746.5,17757.5,17745,17754.5,514
2024-05-03T00:00:00Z,17753.75,17756.5,17737.5,17746.5,1064
2024-05-03T00:15:00Z,17746.25,17749.75,17738.25,17747,730
2024-05-03T00:30:00Z,17747.75,17763.5,17747.25,17763,917
2024-05-03T00:45:00Z,17762.75,17771.75,17761.5,17762.75,788
2024-05-03T01:00:00Z,17763.5,17769,17761.25,17763.5,467
2024-05-03T01:15:00Z,17763.25,17777.5,17762.25,17775.25,1028
2024-05-03T01:30:00Z,17775,17785.25,17772,17773.5,1268
2024-05-03T01:45:00Z,17773.75,17787,17770,17771.5,1104
2024-05-03T02:00:00Z,17771.75,17773.5,17766,17769,932
2024-05-03T02:15:00Z,17769.5,17771.25,17763.5,17764.25,476
2024-05-03T02:30:00Z,17764.25,17768.75,17762,17763,417
2024-05-03T02:45:00Z,17763.25,17766.25,17758,17760.75,565
2024-05-03T03:00:00Z,17760.5,17766.5,17758,17760.5,471
2024-05-03T03:15:00Z,17761.5,17764,17758,17760.5,296
2024-05-03T03:30:00Z,17761,17769,17760.5,17767.25,366
2024-05-03T03:45:00Z,17767.5,17767.5,17759.25,17763,279
2024-05-03T04:00:00Z,17762.75,17766.25,17758.5,17759,291
2024-05-03T04:15:00Z,17759.25,17763.75,17759.25,17760.5,262
2024-05-03T04:30:00Z,17760.5,17760.5,17752.5,17753.75,666
2024-05-03T04:45:00Z,17753.75,17757.5,17748,17751.25,488
2024-05-03T05:00:00Z,17751.25,17753,17746,17749,530
2024-05-03T05:15:00Z,17748,17755.25,17745.5,17748.25,526
2024-05-03T05:30:00Z,17748,17759,17748,17757.75,496
2024-05-03T05:45:00Z,17757.75,17761.25,17753.5,17756.25,464
2024-05-03T06:00:00Z,17756,17756.75,17739.75,17753.75,1311
2024-05-03T06:15:00Z,17753.5,17754.25,17732,17736.75,1864
2024-05-03T06:30:00Z,17736.75,17742.25,17732,17736,1088
2024-05-03T06:45:00Z,17735.75,17739.75,17732,17733.75,1079
2024-05-03T07:00:00Z,17734,17740.25,17723.75,17735,1924
2024-05-03T07:15:00Z,17734.5,17739,17719.5,17721.5,1207
2024-05-03T07:30:00Z,17722.25,17734.25,17720.5,17727.25,1142
2024-05-03T07:45:00Z,17726.75,17746.75,17726.25,17746.75,1181
2024-05-03T08:00:00Z,17746.25,17755,17742.25,17743,1869
2024-05-03T08:15:00Z,17742.25,17758.5,17741.25,17755,1559
2024-05-03T08:30:00Z,17754.5,17768.5,17751,17756.25,2064
2024-05-03T08:45:00Z,17756.25,17765.5,17754.75,17760.25,943
2024-05-03T09:00:00Z,17760.75,17763.75,17754.25,17754.5,855
2024-05-03T09:15:00Z,17754.5,17758,17743.5,17748,1291
2024-05-03T09:30:00Z,17747.25,17759.75,17744.5,17756,1144
2024-05-03T09:45:00Z,17756.75,17761.75,17749.75,17760,649
2024-05-03T10:00:00Z,17760.5,17779,17758.5,17771.5,1941
2024-05-03T10:15:00Z,17771.75,17777,17766.5,17769.75,1068
2024-05-03T10:30:00Z,17770,17772.5,17761,17764.5,1008
2024-05-03T10:45:00Z,17765,17766.25,17752,17753.5,1260
2024-05-03T11:00:00Z,17753,17762.25,17751.75,17759.25,1300
2024-05-03T11:15:00Z,17759.5,17771.5,17756,17771.25,1278
2024-05-03T11:30:00Z,17771,17772,17755.25,17755.5,1328
2024-05-03T11:45:00Z,17755,17760.75,17740.25,17747.75,1752
2024-05-03T12:00:00Z,17747,17767.25,17746.75,17766,2071
2024-05-03T12:15:00Z,17766.25,17805.75,17743.25,17744,3346
2024-05-03T12:30:00Z,17757.5,17962.25,17743.25,17913.5,29526
2024-05-03T12:45:00Z,17914.25,17935,17908.5,17924.25,11498
2024-05-03T13:00:00Z,17923.25,17941.75,17915.25,17933.5,9291
2024-05-03T13:15:00Z,17933.5,17968,17921,17957.75,8489
2024-05-03T13:30:00Z,17957.5,17976.5,17919.25,17973,49181
2024-05-03T13:45:00Z,17971.75,18018.75,17968,18000.75,32515
2024-05-03T14:00:00Z,18000.75,18050.25,17912.25,17927.25,55892
2024-05-03T14:15:00Z,17927,17962,17893.75,17943.75,32796
2024-05-03T14:30:00Z,17943.75,17986.5,17910.5,17982.75,24068
2024-05-03T14:45:00Z,17982.75,17990.25,17921,17925.25,18682
2024-05-03T15:00:00Z,17925.5,17942.5,17895.25,17905.75,15386
2024-05-03T15:15:00Z,17906.25,17952,17903.5,17946.5,14076
2024-05-03T15:30:00Z,17946.75,17993.5,17946.5,17981,15842
2024-05-03T15:45:00Z,17981.25,18004.75,17971.5,17987,12039
2024-05-03T16:00:00Z,17987,18000.75,17982.5,17983.25,9588
2024-05-03T16:15:00Z,17983.75,17998.75,17974.75,17987,8184
2024-05-03T16:30:00Z,17987.25,18008,17981.5,17996.5,7252
2024-05-03T16:45:00Z,17996,18005,17962,17972.25,9439
2024-05-03T17:00:00Z,17972.5,17999.5,17968.75,17998,6960
2024-05-03T17:15:00Z,17997.75,18004.25,17985.5,17988.75,7118
2024-05-03T17:30:00Z,17988.75,17999.75,17967,17981.25,9431
2024-05-03T17:45:00Z,17981,17999.5,17975.75,17986,4993
2024-05-03T18:00:00Z,17986.25,18021.25,17985.5,18012.5,8966
2024-05-03T18:15:00Z,18012.25,18025,18012.25,18015.25,5753
2024-05-03T18:30:00Z,18015.5,18027.75,18002.75,18012.25,7323
2024-05-03T18:45:00Z,18012.75,18022.5,17998.5,18008.75,7275
2024-05-03T19:00:00Z,18009,18024.5,17998.75,18014.5,7153
2024-05-03T19:15:00Z,18014.5,18023.75,18002.75,18016.25,7814
2024-05-03T19:30:00Z,18016,18017,17994.75,18008.5,9082
2024-05-03T19:45:00Z,18008.25,18015.75,17987.75,18001.5,23440
2024-05-03T20:00:00Z,18001.5,18027.5,18000,18024.75,8787
2024-05-03T20:15:00Z,18025.5,18027,18019,18020.25,1192
2024-05-03T20:30:00Z,18020.75,18026,18019.75,18024,1029
2024-05-03T20:45:00Z,18023.75,18026,18018,18025.5,1422
2024-05-05T22:00:00Z,18047.5,18063.75,18029.75,18030.75,2739
2024-05-05T22:15:00Z,18030,18039,18026,18038,674
2024-05-05T22:30:00Z,18037.5,18039.5,18032.75,18035,492
2024-05-05T22:45:00Z,18034.75,18036.75,18031.75,18032,252
2024-05-05T23:00:00Z,18032,18033.75,18025.5,18027.75,637
2024-05-05T23:15:00Z,18027,18027.75,18018.75,18024,811
2024-05-05T23:30:00Z,18023.5,18025.25,18012,18013.75,792
